price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
